,county,drug_mort_cat,FIPS,fips_state,population,State,Year,drug_mort
0,"Autauga County, AL",2-3.9,1001,1,42963,Alabama,1999,3
1,"Autauga County, AL",4-5.9,1001,1,44021,Alabama,2000,5
2,"Autauga County, AL",4-5.9,1001,1,44889,Alabama,2001,5
3,"Autauga County, AL",4-5.9,1001,1,45909,Alabama,2002,5
4,"Autauga County, AL",4-5.9,1001,1,46800,Alabama,2003,5
5,"Autauga County, AL",4-5.9,1001,1,48366,Alabama,2004,5
6,"Autauga County, AL",4-5.9,1001,1,49676,Alabama,2005,5
7,"Autauga County, AL",6-7.9,1001,1,51328,Alabama,2006,7
8,"Autauga County, AL",6-7.9,1001,1,52405,Alabama,2007,7
9,"Autauga County, AL",6-7.9,1001,1,53277,Alabama,2008,7
10,"Autauga County, AL",6-7.9,1001,1,54135,Alabama,2009,7
11,"Baldwin County, AL",6-7.9,1003,1,137555,Alabama,1999,7
12,"Baldwin County, AL",6-7.9,1003,1,141342,Alabama,2000,7
13,"Baldwin County, AL",12-13.9,1003,1,172404,Alabama,2007,13
14,"Baldwin County, AL",12-13.9,1003,1,175827,Alabama,2008,13
15,"Baldwin County, AL",14-15.9,1003,1,179406,Alabama,2009,15
16,"Baldwin County, AL",14-15.9,1003,1,183193,Alabama,2010,15
17,"Baldwin County, AL",14-15.9,1003,1,186659,Alabama,2011,15
18,"Baldwin County, AL",16-17.9,1003,1,190396,Alabama,2012,17
19,"Baldwin County, AL",16-17.9,1003,1,195126,Alabama,2013,17
20,"Baldwin County, AL",18-19.9,1003,1,199713,Alabama,2014,19
21,"Baldwin County, AL",20-21.9,1003,1,203709,Alabama,2015,21
22,"Baldwin County, AL",20-21.9,1003,1,208563,Alabama,2016,21
23,"Barbour County, AL",<2,1005,1,28866,Alabama,1999,1
24,"Barbour County, AL",<2,1005,1,29015,Alabama,2000,1
25,"Barbour County, AL",<2,1005,1,28863,Alabama,2001,1
26,"Barbour County, AL",<2,1005,1,28653,Alabama,2002,1
27,"Barbour County, AL",2-3.9,1005,1,28594,Alabama,2003,3
28,"Barbour County, AL",2-3.9,1005,1,28287,Alabama,2004,3
29,"Barbour County, AL",2-3.9,1005,1,28027,Alabama,2005,3
30,"Barbour County, AL",2-3.9,1005,1,27861,Alabama,2006,3
31,"Barbour County, AL",2-3.9,1005,1,27757,Alabama,2007,3
32,"Barbour County, AL",2-3.9,1005,1,27808,Alabama,2008,3
